kernel,n_total,n_ok,n_no_csim,n_compile_failed,n_timeout,n_no_gcda,orig_lines_total,orig_pct_mean,orig_pct_std,orig_pct_union,refactor_pct_mean,refactor_pct_std,refactor_lines_found_mean
av1_compound_type_rd,20,7,9,4,0,0,535,60.053404539385845,27.377640618205167,80.37383177570094,80.47466136448126,5.223966000287655,196.28571428571428
hetero_ahocorasick,20,19,0,0,1,0,75,94.3157894736842,22.861222136684777,100.0,81.94417116910493,11.458868934755813,95.84210526315789
hetero_dfs,20,20,0,0,0,0,38,90.0,21.183801892103272,94.73684210526316,80.50570146048042,20.5733104127463,30.95
hetero_strassen,20,19,0,0,0,1,230,90.41189931350114,28.87314223380419,100.0,95.06408482633982,4.663938132488709,29.63157894736842
leetcode_skyline,20,20,0,0,0,0,22,100.0,0.0,100.0,96.51823192289885,4.641953934217061,67.3
leetcode_wordBreak,20,20,0,0,0,0,21,98.0952380952381,8.518354199999198,100.0,90.93201036761803,7.916727993799459,81.8
libjpeg_encode_one_block,20,17,3,0,0,0,34,79.58477508650519,23.972631368973598,100.0,78.75565305970542,17.670501370336307,100.47058823529412
libjpeg_idct_generic,20,14,1,5,0,0,342,46.929824561403514,23.15266586278533,76.60818713450293,61.3498643157808,26.644889481302577,227.64285714285714
libjpeg_median_cut,20,19,0,1,0,0,146,91.67267483777938,2.3755612630584677,92.46575342465754,95.68397127671736,2.245129890447621,157.3684210526316
libsodium_argon2_fill_segment,20,17,3,0,0,0,127,90.73645206113942,10.230651921761497,99.21259842519684,89.44905518174079,10.602735822207697,134.64705882352942
minimap2_mm_chain_dp_orig,20,16,2,1,0,1,267,45.52902621722847,1.640938194994223,46.81647940074907,88.24469663405861,10.04898641693082,143.75
